Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59452222,Picasso's War: How Modern Art Came to America,Hugh Eakin,"Eakin, Hugh",,"=""0451498488""","=""9780451498489""",0,4.36,Crown,Hardcover,480,2022,2022,,2024/01/30,to-read,to-read (#971),to-read,,,,0,0
24885533,The Paper Menagerie and Other Stories,Ken Liu,"Liu, Ken",,"=""1481442546""","=""9781481442541""",0,4.36,Gallery / Saga Press,Hardcover,450,2016,2016,,2024/01/30,to-read,to-read (#970),to-read,,,,0,0
50364458,The Tyranny of Merit: What's Become of the Common Good?,Michael J. Sandel,"Sandel, Michael J.",,"=""0241407605""","=""9780241407608""",0,4.19,Allen Lane,Paperback,272,2020,2020,,2024/01/30,to-read,to-read (#969),to-read,,,,0,0
65678550,The Heaven & Earth Grocery Store,James   McBride,"McBride, James",,"=""0593422945""","=""9780593422946""",0,3.98,Riverhead Books,Hardcover,385,2023,2023,,2024/01/20,to-read,to-read (#968),to-read,,,,0,0
62313346,Excellent Advice for Living: Wisdom I Wish I'd Known Earlier,Kevin Kelly,"Kelly, Kevin",,"=""0593654528""","=""9780593654521""",0,4.23,Viking,Hardcover,224,2023,,,2024/01/16,to-read,to-read (#967),to-read,,,,0,0
120262,The Oxford Book of Latin American Essays,Ilan Stavans,"Stavans, Ilan",,"=""0195092341""","=""9780195092349""",0,4.25,Oxford University Press,Hardcover,518,1997,1997,,2023/06/18,"currently-reading, latin-america","currently-reading (#2), latin-america (#7)",currently-reading,,,,1,0
143365222,GHOST :: SEEDS: Poems,Sebastian Merrill,"Merrill, Sebastian",,"=""1680033514""","=""9781680033519""",0,4.71,Texas Review Press,Paperback,78,2023,,,2024/01/12,to-read,to-read (#966),to-read,,,,0,0
2092682,Programmers at Work: Interviews With 19 Programmers Who Shaped the Computer Industry,Susan Lammers,"Lammers, Susan",,"=""1556152116""","=""9781556152115""",0,4.09,Tempus Books,Paperback,391,1989,1986,,2024/01/12,to-read,to-read (#965),to-read,,,,0,0
1598221,"Gold and Iron: Bismarck, Bleichröder and the Building of the German Empire",Fritz Stern,"Stern, Fritz",,"=""0394740343""","=""9780394740348""",0,4.05,Vintage,Paperback,672,1979,1980,,2024/01/12,to-read,to-read (#964),to-read,,,,0,0
3269091,"The Alchemy of Air: A Jewish Genius, a Doomed Tycoon, and the Scientific Discovery That Fed the World but Fueled the Rise of Hitler",Thomas Hager,"Hager, Thomas",,"=""0307351785""","=""9780307351784""",0,4.35,Crown,Hardcover,336,2008,2008,,2024/01/12,to-read,to-read (#963),to-read,,,,0,0
16248578,The Real North Korea: Life and Politics in the Failed Stalinist Utopia,Andrei Lankov,"Lankov, Andrei",,"=""0199964297""","=""9780199964291""",0,4.11,Oxford University Press,Hardcover,304,2013,2013,,2024/01/12,to-read,to-read (#962),to-read,,,,0,0
43603,The People of Paper,Salvador Plascencia,"Plascencia, Salvador",,"=""0156032112""","=""9780156032117""",4,4.07,HarperVia,Paperback,256,2006,2005,2024/01/01,2023/04/04,magical-realism,magical-realism (#5),read,,,,1,0
133240726,As Gods Among Men: A History of the Rich in the West,Guido   Alfani,"Alfani, Guido",,"=""0691215731""","=""9780691215730""",0,3.96,Princeton University Press,Hardcover,440,2023,2023,,2023/12/30,to-read,to-read (#961),to-read,,,,0,0
62596737,The Myth of American Inequality,Phil Gramm,"Gramm, Phil","Robert Ekelund, John Early","=""1538167395""","=""9781538167397""",0,4.34,Rowman & Littlefield Publishers,Kindle Edition,257,2022,2022,,2023/12/30,to-read,to-read (#960),to-read,,,,0,0
43916,"Magician (The Riftwar Saga, #1-2)",Raymond E. Feist,"Feist, Raymond E.",,"=""0586217835""","=""9780586217832""",0,4.32,HarperCollins,Paperback,681,2009,1982,,2023/12/27,to-read,to-read (#959),to-read,,,,0,0
44142112,Strong Towns: A Bottom-Up Revolution to Rebuild American Prosperity,Charles L. Marohn Jr.,"Jr., Charles L. Marohn",,"=""1119564816""","=""9781119564812""",0,4.26,Wiley,Hardcover,256,2019,,,2023/12/26,to-read,to-read (#958),to-read,,,,0,0
201545491,"The Software Engineer's Guidebook: Navigating senior, tech lead, and staff engineer positions at tech companies and startups",Gergely  Orosz,"Orosz, Gergely",,"=""908338182X""","=""9789083381824""",0,4.10,Pragmatic Engineer BV,Paperback,413,2023,2023,,2023/12/21,to-read,to-read (#957),to-read,,,,0,0
1155,Buffett: The Making of an American Capitalist,Roger Lowenstein,"Lowenstein, Roger",,"=""0385484917""","=""9780385484916""",0,4.19,Broadway Books / Random House,Paperback,475,2001,1995,,2023/12/21,to-read,to-read (#956),to-read,,,,0,0
63184332,Into the Void: From Birth to Black Sabbath―And Beyond,Geezer Butler,"Butler, Geezer",,"=""0063242508""","=""9780063242500""",0,4.19,Dey Street Books,Hardcover,288,2023,,,2023/12/04,to-read,to-read (#955),to-read,,,,0,0
180378,A Time To Be Born,Dawn Powell,"Powell, Dawn",,"=""1883642418""","=""9781883642419""",0,3.96,Steerforth Press,Paperback,334,2011,1942,,2023/12/03,"to-read, classics","to-read (#954), classics (#50)",to-read,,,,0,0
60766189,"A Day of Fallen Night (The Roots of Chaos, #0)",Samantha    Shannon,"Shannon, Samantha",,"=""1635577926""","=""9781635577921""",0,4.36,Bloomsbury Publishing,Hardcover,868,2023,2023,,2023/12/02,to-read,to-read (#953),to-read,,,,0,0
40604556,"Red Seas Under Red Skies (Gentleman Bastard, #2)",Scott Lynch,"Lynch, Scott",,"=""""","=""""",0,4.25,Del Rey,Kindle Edition,578,2018,2007,,2023/12/02,to-read,to-read (#952),to-read,,,,0,0
60894257,Computer Engineering for Babies,Chase Roberts,"Roberts, Chase",,"=""1735208701""","=""9781735208701""",0,4.48,Chase Roberts,Board book,12,2021,,,2023/12/02,to-read,to-read (#951),to-read,,,,0,0
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",0,4.33,Penguin Books,Paperback,462,2019,2016,,2023/11/30,to-read,to-read (#950),to-read,,,,0,0
47615,"The Abhorsen Trilogy Box Set (Abhorsen, #1-3)",Garth Nix,"Nix, Garth",,"=""0060734191""","=""9780060734190""",0,4.54,HarperTeen,Paperback,850,2005,2003,,2023/11/25,"to-read, fantasy","to-read (#949), fantasy (#94)",to-read,,,,0,0
